,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Beal,27.4,24,7,35,11,5,7,2,4,5,6,0,1,1,0,1,0,1,6,3,0,16
1,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Betinho,25.1,13,4,27,9,2,4,2,5,3,5,1,3,4,4,2,0,4,5,1,0,11
2,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Crosby,28.2,12,5,26,12,0,0,5,12,2,2,4,2,6,1,2,0,1,2,4,0,13
3,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,D. Nunes,26.7,11,4,11,4,1,1,3,3,2,2,1,1,2,1,3,4,3,2,6,0,10
4,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Mineiro,23.4,9,4,13,6,0,0,4,6,1,1,3,3,6,0,0,0,3,2,1,0,4
5,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Coelho,15.3,4,2,6,3,0,0,2,3,0,0,0,0,0,2,1,0,3,1,0,0,3
6,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Renato Lamas,27.0,3,1,15,5,0,3,1,2,1,2,0,3,3,0,0,0,2,1,3,0,9
7,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Mark Borders,12.2,2,1,4,2,0,0,1,2,0,0,1,2,3,1,1,0,2,0,0,0,1
8,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Demétrio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Fuzaro,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Bruno,1.6,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
11,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Ansaloni,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Minas,Joinville,05/02/2013 21:00,21ª RODADA,2º TURNO,casa,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Diego,20.0,16,5,26,9,3,4,2,5,3,4,2,1,3,2,4,2,2,2,1,0,10
1,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Vinicius Teló,30.9,15,7,34,15,1,4,6,11,0,0,0,4,4,2,2,2,3,3,1,1,16
2,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Victinho,27.0,12,4,26,10,2,3,2,7,2,3,2,2,4,4,0,0,3,8,2,0,11
3,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Thyago Aleo,32.3,9,3,25,9,1,5,2,4,2,2,0,2,2,3,0,0,1,2,3,0,13
4,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Ricardo Probst,20.0,6,2,19,6,0,1,2,5,2,6,3,1,4,0,1,0,2,3,3,0,8
5,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Mathias,16.5,6,3,8,3,0,0,3,3,0,2,1,4,5,0,1,5,2,1,0,0,3
6,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Durval,22.0,3,1,14,5,1,4,0,1,0,0,1,1,2,3,1,0,2,0,0,0,4
7,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Abner,15.7,2,1,4,2,0,0,1,2,0,0,1,2,3,1,0,0,2,0,1,0,2
8,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Henrique,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2
9,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Renato,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Rech,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Joinville,Minas,05/02/2013 21:00,21ª RODADA,2º TURNO,fora,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
